Age,Employment_Status,Employment_Duration,Industry_Sector,Education_Level,Marital_Status,Housing_Status,Years_at_Residence,Number_of_Dependents,City_Region,Annual_Income,Total_Debt,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Credit_Score,Credit_History_Length,Number_of_Existing_Loans,Total_Credit_Limit,Credit_Utilization_Rate,Savings_Account_Balance,Checking_Account_Balance,Total_Assets,Net_Worth,Number_of_Late_Payments,Worst_Delinquency_Status,Months_since_Last_Delinquency,Number_of_Credit_Inquiries,Number_of_Open_Credit_Lines,Number_of_Derogatory_Records,Bankruptcy_Flag,Credit_Mix,Loan_Amount_Requested,Loan_Term_Months,Loan_Purpose,Payment_to_Income_Ratio,Collateral_Type,Collateral_Value,Transaction_Amount,Transaction_Frequency,Transaction_Location,Days_since_Last_Transaction,Avg_Probability_of_Default,Avg_Risk_Weighted_Assets,DPD_Trigger_Count,Bankruptcy_Trigger_Flag,Cash_Flow_Volatility,Seasonal_Spending_Pattern,Custom_Risk_Score,Credit_Risk_Score,Default_Flag
40,Self-Employed,0,Education,University,Single,Rent,2,0,East,158028,697.0438302873365,0.0044108881355667,0.2324334927987445,363,5,2,500,1.0,3430,8881,0,-697.0438302873365,4,4,23,0,3,1,False,Installment,36731,48,Home Improvement,0.0581083731996861,Real Estate,0,110,11,South,0,0.3380698268551619,44257,4,False,0,Medium,359,850.0,False
54,Self-Employed,9,Tech,High School,Married,Mortgage,4,1,West,36451,453.8941488255877,0.0124521727476773,0.634276151545911,300,11,1,500,0.9077882976511752,1552,9700,91012,90558.10585117442,6,1,34,1,4,2,False,Mortgage,23120,36,Business,0.211425383848637,None,0,14,10,South,237,0.2450388123462087,9992,4,False,7263,High,449,674.0,False
70,Self-Employed,4,Other,High School,Single,Rent,9,1,West,77694,4106.693413311906,0.0528572787256661,0.091139598939429,335,31,0,22371,0.1835721878017033,1241,12524,0,-4106.693413311906,4,1,10,0,2,0,False,Revolving,7081,36,Debt Consolidation,0.030379866313143,None,0,137,11,West,250,0.3152754637160807,0,4,False,8318,Medium,235,825.0,False
54,Employed,11,Finance,Others,Married,Rent,2,0,West,45062,13563.40100859874,0.3009942081709365,0.4241489503350938,300,13,0,45923,0.2953509354484406,25230,28233,14523,959.5989914012608,4,1,22,1,1,0,False,Revolving,19113,36,Other,0.1413829834450312,None,0,173,16,East,14,0.2543613291727988,80504,1,False,21324,Medium,230,644.0,False
27,Self-Employed,3,Tech,Others,Single,Rent,2,2,South,87447,437.2350906755069,0.0050000010369195,0.1457797294361155,300,6,2,500,0.8744701813510138,36196,6974,412366,411928.76490932447,4,3,11,1,1,0,False,Revolving,12748,24,Debt Consolidation,0.0728898647180577,Vehicle,36297,364,11,East,158,0.1707010908810195,18692,3,False,291,Medium,285,789.0,False
27,Self-Employed,13,Finance,University,Married,Mortgage,1,0,North,61887,315.0,0.00508992195453,0.550422544314638,378,4,2,117499,0.0026808738797777,11551,17997,294212,293897.0,0,1,21,1,3,0,False,Revolving,34064,24,Debt Consolidation,0.275211272157319,None,0,36,8,South,90,0.0999660197131359,94852,0,False,13376,High,26,850.0,False
36,Self-Employed,2,Education,Graduate,Married,Rent,7,2,West,110932,22756.0,0.2051346770994843,0.1458461039195182,380,5,2,116643,0.1950910041751326,37573,18116,337362,314606.0,4,1,19,0,3,1,False,Installment,16179,36,Business,0.0486153679731727,None,0,112,13,West,180,0.025841696841439,126217,1,False,0,Low,169,850.0,False
34,Employed,6,Other,University,Single,Rent,13,0,West,70257,5916.0,0.0842051325846534,0.1133837197716953,300,6,3,10829,0.5463108320251178,3933,1372,0,-5916.0,6,2,37,2,3,1,False,Mortgage,7966,36,Home Improvement,0.0377945732572317,Real Estate,0,82,12,North,84,0.2509619558107219,144973,1,False,5274,Medium,313,736.0,False
38,Employed,1,Finance,University,Married,Rent,1,0,West,10000,27705.0,1.0,0.9835,305,9,1,90807,0.3050976246324622,7992,6898,0,-27705.0,2,3,18,0,5,0,False,Revolving,9835,60,Business,0.1967,None,0,67,11,North,34,0.206377213864753,114355,1,False,299,Low,274,544.0,False
31,Unemployed,0,Healthcare,High School,Single,Rent,0,1,North,10000,9407.0,0.9407,1.0,300,5,3,103003,0.0913274370649398,33232,9036,154736,145329.0,5,3,49,0,3,0,False,Revolving,15757,60,Debt Consolidation,0.31514,Vehicle,141913,82,7,South,311,0.1634699693804869,53368,0,False,2976,Low,286,526.0,False
26,Employed,2,Finance,High School,Married,Rent,2,0,South,50781,310.51026165542595,0.0061146937172451,0.2311100608495303,300,2,4,500,0.6210205233108519,2975,1835,64894,64583.48973834457,7,3,26,0,2,1,False,Installment,11736,36,Home Improvement,0.0770366869498434,Vehicle,0,10,12,South,56,0.194584416134794,0,4,False,3577,Medium,375,720.0,False
63,Employed,6,Finance,High School,Married,Own,3,0,East,10000,28692.0,1.0,1.0,300,9,2,80811,0.3550506737944092,12380,9749,0,-28692.0,4,1,29,0,2,1,False,Revolving,18275,60,Other,0.3655,Vehicle,163605,46,18,East,330,0.1811454627249192,81656,0,False,9904,Medium,357,471.0,False
18,Employed,0,Other,University,Single,Rent,6,1,East,65067,11653.0,0.1790923202237693,0.1801527656108319,382,0,3,185832,0.0627071763743596,2841,10493,105494,93841.0,0,1,33,1,6,0,False,Revolving,11722,36,Business,0.0600509218702773,None,0,273,10,East,304,0.3118176608744086,102282,0,False,8610,Low,128,850.0,False
68,Self-Employed,3,Other,Graduate,Single,Own,0,0,South,65062,27631.63218407221,0.424696938060192,0.4828163905198118,300,13,2,109586,0.2521456407211889,5486,1898,252397,224765.36781592775,5,1,57,2,3,0,False,Installment,31413,24,Home Improvement,0.2414081952599059,Real Estate,0,158,12,South,355,0.0384329631871864,14611,3,False,0,High,264,709.0,False
62,Employed,1,Tech,Graduate,Single,Mortgage,10,2,North,24654,12668.0,0.5138314269489738,0.7577675022308753,324,21,1,58107,0.2180115992909632,19706,25873,252522,239854.0,3,2,33,1,2,0,False,Revolving,18682,24,Home Improvement,0.3788837511154376,Real Estate,107178,163,5,North,274,0.0232267595409816,131846,1,False,6580,Low,267,663.0,True
30,Employed,0,Finance,University,Single,Own,5,1,East,80595,63857.0,0.7923196228053849,0.0918295179601712,319,3,2,70811,0.9017949188685374,24744,22515,260127,196270.0,2,1,38,5,3,0,False,Revolving,7401,36,Business,0.030609839320057,Real Estate,0,33,10,North,141,0.1557644468524542,50593,2,False,15119,Medium,369,562.0,False
21,Employed,4,Finance,High School,Married,Mortgage,4,2,North,69446,814.0,0.0117213374420412,0.0890908043659822,350,0,0,54383,0.0149679127668572,5859,2983,256839,256025.0,4,1,45,0,6,1,False,Installment,6187,24,Debt Consolidation,0.0445454021829911,Real Estate,172892,275,6,East,279,0.3135147201213878,13508,0,False,9423,Low,242,848.0,False
18,Self-Employed,15,Other,High School,Married,Mortgage,2,1,West,66703,1325.1950222429307,0.0198670977653618,0.2432424328740836,312,2,1,54757,0.0242013810516085,23824,12958,221615,220289.80497775707,4,1,15,1,4,0,False,Revolving,16225,36,Business,0.0810808109580278,None,0,108,9,North,162,0.3714684397914227,5096,0,False,9803,Medium,127,817.0,False
66,Employed,1,Healthcare,University,Single,Rent,2,0,South,96679,375.0,0.0038788154614756,0.2167792385109486,471,14,1,8553,0.0438442651701157,71494,10011,130135,129760.0,3,2,29,0,4,1,False,Revolving,20958,36,Home Improvement,0.0722597461703162,None,0,142,15,South,127,0.0160713111405107,66144,0,False,0,Low,156,850.0,False
57,Employed,4,Other,High School,Single,Own,0,0,East,72172,7576.0,0.1049714570747658,0.5052097766446821,420,10,3,129292,0.0585960461590817,4361,11017,276592,269016.0,2,0,24,0,2,0,False,Installment,36462,36,Business,0.1684032588815607,None,0,125,15,West,145,0.3097936034514971,3841,2,False,14913,High,120,850.0,False
49,Employed,15,Healthcare,Graduate,Others,Own,8,0,South,24807,12395.0,0.499657354778893,1.0,300,8,2,70112,0.1767885668644454,820,9042,103251,90856.0,4,2,53,1,1,1,False,Revolving,31626,12,Debt Consolidation,0.5,None,0,40,14,South,314,0.1972353348905701,101378,1,False,4329,High,313,652.0,True
51,Unemployed,5,Other,University,Married,Own,5,0,North,48923,3745.0,0.0765488624982114,0.3000633648795045,331,8,3,79506,0.047103363268181,10096,4611,96706,92961.0,1,2,17,3,5,0,False,Installment,14680,24,Debt Consolidation,0.1500316824397522,Vehicle,90455,444,8,West,32,0.132001422685916,0,0,False,6666,Low,102,847.0,False
45,Employed,5,Education,Graduate,Married,Own,22,0,North,35240,4266.076339596862,0.1210577848920789,0.4764472190692395,300,9,1,10013,0.4260537640663999,15602,279,92818,88551.92366040313,7,2,27,0,3,1,False,Installment,16790,24,Business,0.2382236095346197,Vehicle,71032,50,9,North,350,0.1013073548238653,9719,3,False,0,Low,294,709.0,False
48,Employed,0,Finance,Graduate,Single,Rent,2,1,North,10000,10869.0,1.0,1.0,313,13,0,75261,0.1444174273528122,5569,5537,56464,45595.0,4,3,40,1,4,0,False,Mortgage,23836,36,Home Improvement,0.5,Real Estate,236399,355,9,North,252,0.1103023564661478,0,0,False,5747,High,277,516.0,False
25,Employed,3,Healthcare,Others,Married,Rent,6,2,West,94539,3119.0,0.0329916753932239,0.2615111223939326,442,13,2,116101,0.0268645403571028,7615,20075,261217,258098.0,1,1,57,3,4,0,False,Revolving,24723,48,Home Improvement,0.0653777805984831,Real Estate,143016,176,14,South,188,0.3587267982125919,0,0,False,0,Medium,104,850.0,False
56,Unemployed,2,Education,High School,Married,Own,15,1,West,102701,152.2508748806299,0.0014824673068483,0.0467473539692894,302,11,3,500,0.3045017497612598,293,274,329321,329168.74912511936,4,3,8,0,2,1,False,Installment,4801,24,Home Improvement,0.0233736769846447,None,0,132,11,West,362,0.0350907919315646,103206,2,False,8021,Medium,215,833.0,False
43,Self-Employed,3,Healthcare,Graduate,Single,Rent,7,3,West,76802,2873.0,0.0374078800031249,0.2412567381057785,417,8,1,75394,0.0381064806218001,11698,11573,54884,52011.0,2,0,18,0,2,0,True,Revolving,18529,48,Home Improvement,0.0603141845264446,Real Estate,210005,149,9,South,285,0.0359690850150027,0,0,False,0,High,197,752.0,False
75,Unemployed,8,Tech,University,Single,Rent,0,0,South,34530,15674.0,0.4539241239501882,0.6700550246162758,302,19,1,17378,0.9019449879157556,24563,985,336191,320517.0,4,5,11,1,3,1,False,Revolving,23137,12,Business,0.5,Real Estate,32727,50,18,South,69,0.1840428868428582,61719,1,False,2328,Low,368,610.0,False
51,Self-Employed,3,Tech,Graduate,Married,Own,6,2,South,34011,672.0126247230653,0.0197586846821047,0.4195113345682279,300,7,2,2481,0.2708636133506913,51498,9637,163766,163093.98737527695,6,3,58,0,4,0,False,Installment,14268,24,Business,0.2097556672841139,Vehicle,0,34,13,South,24,0.0624166026166337,100907,2,False,12755,Low,219,711.0,False
71,Employed,0,Finance,Graduate,Married,Own,4,2,West,74455,4742.0,0.0636894768652206,0.4376200389497011,360,15,1,55024,0.0861805757487641,19465,6335,298002,293260.0,5,2,16,0,4,0,False,Revolving,32583,36,Debt Consolidation,0.145873346316567,Real Estate,133140,196,4,North,340,0.3609436449306765,6739,0,False,0,High,188,850.0,False
71,Self-Employed,11,Education,University,Single,Rent,4,0,East,41810,477.7544383695198,0.0114267983345974,0.8079406840468787,300,19,2,500,0.9555088767390396,21450,8970,39047,38569.24556163048,8,3,8,0,2,1,False,Revolving,33780,12,Business,0.5,Real Estate,73236,355,10,South,331,0.1423364320264603,44817,5,False,0,Low,394,677.0,False
20,Employed,3,Education,University,Single,Own,4,1,North,96813,21211.13024594561,0.2190938225852479,0.0672946814993854,300,0,1,19169,1.0,39987,6528,92014,70802.8697540544,3,3,33,2,5,1,False,Revolving,6515,36,Business,0.0224315604997951,Real Estate,226299,62,9,North,311,0.2073755974591659,0,8,False,9654,Medium,341,709.0,False
67,Employed,12,Tech,University,Married,Rent,3,0,South,128222,7707.0,0.0601066899596013,0.2160003743507354,496,11,1,28608,0.2694001677852349,62049,1820,48722,41015.0,1,1,58,2,5,0,False,Mortgage,27696,36,Debt Consolidation,0.0720001247835784,None,0,41,13,South,90,0.1781477695216139,84837,1,False,8840,Low,123,850.0,False
29,Employed,4,Finance,Graduate,Single,Own,7,2,West,49458,9183.0,0.1856726919810748,0.3563023171175543,333,5,4,84921,0.1081357967993782,7987,42263,0,-9183.0,5,1,41,0,4,1,False,Revolving,17622,12,Home Improvement,0.3563023171175543,Vehicle,7067,202,9,West,176,0.1524606743337625,202789,2,False,12707,Low,251,736.0,False
18,Employed,0,Tech,University,Married,Rent,0,0,West,116579,57098.0,0.4897794628535156,0.0656636272398974,365,0,1,126844,0.4501434833338589,22176,37890,0,-57098.0,4,1,54,1,3,1,False,Mortgage,7655,12,Business,0.0656636272398974,Vehicle,0,82,7,South,87,0.1459775135081906,43840,3,False,5876,High,327,758.0,False
71,Unemployed,4,Education,University,Single,Own,1,1,North,96253,17248.0,0.1791944147195412,0.0662213125824649,441,16,1,99950,0.1725662831415708,12684,2494,0,-17248.0,2,2,45,1,1,1,False,Revolving,6374,48,Business,0.0165553281456162,Vehicle,107640,37,13,North,303,0.0241347277221903,2961,1,False,428,Medium,200,850.0,False
61,Employed,4,Healthcare,High School,Single,Rent,2,1,West,47912,2374.0,0.0495491734847219,0.1334529971614627,410,12,4,180351,0.0131632206087019,23194,16509,209516,207142.0,3,1,10,0,2,0,False,Mortgage,6394,60,Debt Consolidation,0.0266905994322925,None,0,342,9,North,98,0.0379903069615753,51568,0,False,17732,Medium,135,832.0,False
22,Unemployed,1,Education,Others,Married,Own,3,3,North,38024,15944.387352554328,0.4193243044538798,0.6461708394698086,312,1,0,113956,0.1399170500241701,13945,17194,0,-15944.387352554328,4,3,38,2,4,0,False,Revolving,24570,48,Debt Consolidation,0.1615427098674521,Real Estate,23878,224,8,East,227,0.1029059134543206,111059,2,False,0,Medium,278,714.0,False
47,Employed,3,Finance,Graduate,Single,Rent,0,0,West,77048,25169.0485451641,0.3266671236782797,0.3059131969681237,300,16,5,38004,0.6622736697496079,587,6522,403654,378484.9514548359,3,2,46,1,2,0,False,Revolving,23570,36,Home Improvement,0.1019710656560412,Real Estate,30748,42,9,North,316,0.1116105948458816,23257,4,False,5663,Low,296,711.0,False
47,Employed,3,Education,University,Others,Own,10,0,West,56811,507.82521594036336,0.0089388536716544,0.1817253700867789,300,10,1,500,1.0,22529,22536,95514,95006.17478405964,6,3,39,1,1,0,False,Revolving,10324,36,Debt Consolidation,0.0605751233622596,None,0,40,8,West,157,0.1513886053561054,56461,2,False,16189,Low,270,652.0,False
74,Unemployed,4,Other,University,Married,Own,15,0,West,67060,969.0,0.0144497464956755,0.2956755144646585,490,15,2,103529,0.0093596963169739,16725,16094,0,-969.0,3,2,42,1,3,0,True,Installment,19828,60,Other,0.0591351028929317,None,0,457,10,East,83,0.2139607810191723,5318,0,False,3548,High,272,766.0,False
34,Self-Employed,1,Education,Graduate,Married,Own,8,1,North,117452,6999.0,0.0595903007185914,0.1683836801416749,450,10,1,17860,0.3918812989921612,15625,11152,165174,158175.0,1,3,25,0,2,0,False,Installment,19777,48,Debt Consolidation,0.0420959200354187,None,0,99,5,South,365,0.314694389040587,119934,2,False,12218,High,147,850.0,False
65,Self-Employed,4,Other,Graduate,Single,Own,15,0,West,35933,3119.993006164451,0.0868280690775735,0.3927030862995018,300,19,0,21921,0.14232895425229,51708,8026,195530,192410.0069938356,7,2,4,0,4,0,False,Revolving,14111,48,Other,0.0981757715748754,None,0,219,9,West,159,0.0817780541228199,0,3,False,16127,High,252,683.0,False
64,Employed,1,Tech,High School,Single,Mortgage,8,1,North,31865,333.81383988639146,0.0104758776050962,0.5818609759924682,300,12,1,503,0.6636458049431242,28444,10003,233745,233411.1861601136,7,1,19,1,4,1,False,Revolving,18541,36,Debt Consolidation,0.193953658664156,None,0,10,11,North,261,0.0435854811690715,0,2,False,11023,Low,333,665.0,False
40,Employed,2,Other,High School,Single,Own,3,2,West,68470,363.87353830826623,0.0053143499095701,0.1412735504600555,300,9,0,500,0.7277470766165325,1094,3133,168731,168367.12646169175,2,1,40,0,4,1,False,Revolving,9673,48,Debt Consolidation,0.0353183876150138,None,0,86,14,West,329,0.4501865816091775,54195,3,False,0,Medium,328,811.0,False
32,Self-Employed,0,Education,Graduate,Married,Own,2,1,North,51761,6647.0,0.128417148045826,0.2380749985510326,339,2,2,53790,0.1235731548614984,16669,25984,0,-6647.0,3,3,4,3,4,1,False,Revolving,12323,60,Debt Consolidation,0.0476149997102065,None,0,151,5,East,144,0.0040639845517523,62928,1,False,6610,High,281,807.0,False
54,Self-Employed,0,Education,University,Married,Own,1,1,East,65150,2146.0,0.0329393706830391,0.1625940138142747,430,9,3,62024,0.0345995098671482,7677,17814,286556,284410.0,2,2,1,4,4,1,False,Installment,10593,36,Business,0.0541980046047582,None,0,116,10,North,11,0.0203878193032292,0,0,False,0,Medium,156,850.0,False
38,Employed,1,Education,University,Single,Own,0,0,West,61117,12093.0,0.1978663874208485,0.1174468642112669,306,4,2,59531,0.2031378609463976,5897,11089,182156,170063.0,4,2,33,2,4,1,False,Revolving,7178,24,Other,0.0587234321056334,None,0,142,8,North,170,0.207384698988772,89139,1,False,0,Low,289,784.0,False
31,Unemployed,1,Finance,Graduate,Others,Own,1,0,North,26128,19747.0,0.7557792406613595,0.7903398652786283,300,4,2,129723,0.1522243549717475,45776,10091,426552,406805.0,0,1,13,2,2,0,False,Installment,20650,36,Home Improvement,0.2634466217595427,Real Estate,0,63,15,East,56,0.3392346390076969,40716,1,False,19328,High,188,587.0,False
19,Self-Employed,2,Tech,University,Single,Rent,4,0,West,36356,718.9681100348157,0.0197757759389046,1.0,300,5,2,500,1.0,57567,1612,0,-718.9681100348157,7,1,10,1,2,0,False,Mortgage,40487,36,Business,0.3712087871786408,None,0,197,9,East,5,0.055658826345703,0,0,False,0,Medium,318,678.0,False
28,Unemployed,16,Other,University,Single,Own,0,0,South,53015,5139.0,0.0969348297651608,0.6402527586532114,342,5,1,124386,0.041314938980271,968,12989,17019,11880.0,3,1,0,3,0,0,False,Installment,33943,36,Home Improvement,0.2134175862177371,Real Estate,197495,34,12,South,156,0.0506682148678117,57610,3,False,7601,High,181,822.0,False
68,Self-Employed,3,Healthcare,University,Married,Own,18,0,West,46267,2663.0,0.0575572222102146,0.4301986296928696,329,12,2,85517,0.0311400072500204,5467,62557,148286,145623.0,7,3,54,0,7,1,False,Installment,19904,36,Other,0.1433995432309565,Real Estate,84074,16,3,East,72,0.1481409554056226,104336,0,False,0,Low,245,793.0,False
56,Self-Employed,4,Other,High School,Single,Rent,1,0,South,53721,19054.278138404323,0.3546895653171817,0.2051153180320545,300,19,0,18823,1.0,32566,5870,51882,32827.72186159568,6,3,23,1,7,1,False,Mortgage,11019,36,Business,0.0683717726773515,Real Estate,47352,20,9,South,125,0.1289908121101537,19570,3,False,886,Low,411,623.0,False
55,Employed,14,Education,University,Married,Own,10,0,North,65560,5164.0,0.0787675411836485,0.3029896278218426,424,12,2,39270,0.1314998726763432,28001,12249,0,-5164.0,1,0,29,1,3,0,False,Revolving,19864,48,Debt Consolidation,0.0757474069554606,Vehicle,10770,215,9,South,155,0.0768377480855339,42987,0,False,6161,Low,102,850.0,False
51,Employed,12,Healthcare,University,Married,Own,10,1,North,55681,11279.0,0.2025646091126237,0.0390617984590794,336,8,2,70874,0.1591415751897734,4204,2069,108740,97461.0,3,0,1,1,5,0,False,Installment,2175,36,Home Improvement,0.0130205994863598,Vehicle,114422,402,14,North,331,0.2267422421044735,62381,1,False,2529,High,251,803.0,False
55,Unemployed,10,Healthcare,University,Single,Mortgage,0,0,East,24746,3687.0,0.1489937767720035,1.0,343,10,3,78303,0.047086318531857,9433,2298,0,-3687.0,3,1,38,1,1,0,False,Revolving,39288,24,Other,0.5,Vehicle,128812,88,14,North,98,0.0728327513850335,8194,0,False,13155,Low,189,757.0,False
67,Employed,0,Other,Graduate,Married,Rent,7,0,South,54475,92.16069439511472,0.0016917979696211,0.1345387792565397,300,12,1,500,0.1843213887902294,19974,14586,120509,120416.83930560488,6,2,34,1,2,1,False,Installment,7329,24,Home Improvement,0.0672693896282698,None,0,532,13,South,11,0.0478095982113961,39111,1,False,0,Medium,255,797.0,False
51,Employed,5,Other,University,Married,Rent,10,1,East,104774,19581.0,0.1868879683891041,0.0898123580277549,395,7,0,49604,0.3947463914200467,47034,1780,193851,174270.0,3,5,57,1,2,0,False,Installment,9410,48,Other,0.0224530895069387,Real Estate,176365,81,18,North,12,0.0428077400206299,0,2,False,8894,Medium,203,847.0,False
35,Employed,8,Other,University,Married,Mortgage,12,1,South,139666,2186.7564803409414,0.0156570423749584,0.1031460770695802,332,5,3,12087,0.1809180508265857,5483,2161,107397,105210.24351965904,2,2,4,0,5,1,False,Revolving,14406,60,Business,0.020629215413916,None,0,480,5,West,306,0.0811666782770858,95099,3,False,7926,High,189,850.0,False
47,Employed,9,Other,High School,Single,Mortgage,18,0,North,108780,49154.33801606216,0.4518692592026306,0.128755285898143,347,14,1,44438,1.0,26780,7343,0,-49154.33801606216,5,2,2,2,1,0,False,Revolving,14006,48,Debt Consolidation,0.0321888214745357,None,0,385,13,West,132,0.1159150547401434,116028,1,False,12353,Medium,280,654.0,False
32,Unemployed,4,Tech,High School,Married,Own,15,0,North,10000,2065.886915140876,0.2065886915140875,1.0,300,6,1,2507,0.8240474332432691,2726,1076,459739,457673.1130848591,10,1,45,3,3,1,False,Mortgage,23736,12,Other,0.5,Vehicle,60929,47,7,West,66,0.0247851878442102,15773,2,False,8783,Medium,432,545.0,False
44,Unemployed,0,Finance,High School,Single,Own,2,1,North,20854,4189.664843038627,0.2009046150876871,0.5409993286659633,300,5,0,54603,0.076729572423468,16600,1145,181948,177758.33515696137,4,3,38,0,1,0,False,Mortgage,11282,36,Home Improvement,0.1803331095553211,Vehicle,12511,170,13,South,75,0.1457438376287368,39394,1,False,0,High,240,749.0,False
68,Employed,18,Finance,University,Married,Rent,1,0,North,10000,21293.98063549612,1.0,0.1,300,18,3,17298,1.0,23185,44,17654,-3639.980635496122,2,2,24,0,4,0,False,Revolving,1000,48,Debt Consolidation,0.025,Real Estate,0,10,9,South,247,0.0520439482203903,117606,1,False,0,Low,445,473.0,True
51,Employed,3,Other,University,Single,Rent,3,1,North,104423,1105.0,0.0105819599130459,0.0871647050937054,480,7,3,70923,0.015580277202036,77958,22174,17853,16748.0,1,3,29,1,9,0,False,Revolving,9102,36,Debt Consolidation,0.0290549016979018,Real Estate,120160,193,6,East,167,0.1985416636048601,35228,0,False,2925,Medium,42,850.0,False
69,Self-Employed,2,Finance,High School,Single,Own,3,0,East,102067,304.3334749820654,0.0029817029498473,0.0097974859651013,300,15,3,500,0.6086669499641308,3234,2265,273276,272971.66652501794,6,2,59,0,2,1,False,Revolving,1000,60,Debt Consolidation,0.0019594971930202,Vehicle,11196,10,9,West,297,0.3981727544564185,0,6,False,845,Medium,314,802.0,False
74,Self-Employed,2,Other,Graduate,Married,Own,1,1,South,71082,439.2469059505497,0.0061794393229024,0.1286401620663459,300,11,0,500,0.8784938119010994,4598,249,286818,286378.75309404946,7,1,48,1,4,0,False,Mortgage,9144,48,Debt Consolidation,0.0321600405165864,Real Estate,0,284,7,West,181,0.1389428831538584,0,2,False,11595,Medium,307,685.0,False
55,Unemployed,2,Other,University,Married,Rent,0,0,East,136863,4174.0,0.0304976509356071,0.2516677261202809,551,12,1,98671,0.0423021961873296,18923,25540,96784,92610.0,2,1,7,1,2,0,False,Mortgage,34444,12,Other,0.2516677261202809,None,0,178,6,West,179,0.3325452510287888,66237,1,False,14805,Medium,45,850.0,False
50,Employed,1,Other,Graduate,Single,Rent,6,1,South,47808,11325.0,0.2368850401606425,0.2160517068273092,347,6,1,99575,0.1137333668089379,146142,1215,144964,133639.0,5,1,19,0,2,0,False,Revolving,10329,48,Home Improvement,0.0540129267068273,Real Estate,0,64,4,West,33,0.0871545450567812,48740,1,False,0,High,222,780.0,False
41,Employed,1,Tech,University,Single,Rent,1,0,West,65629,2450.0,0.0373310579164698,0.0152371664965183,447,9,2,139351,0.0175815028238046,18087,16903,134008,131558.0,3,1,34,1,1,0,False,Mortgage,1000,36,Home Improvement,0.0050790554988394,Vehicle,162057,122,11,North,356,0.1377718809077279,70578,1,False,1865,Medium,109,850.0,False
32,Employed,21,Education,High School,Married,Rent,14,0,East,69491,4880.49798637506,0.0702320874123995,0.2150062598034277,300,15,1,7688,0.6348202375617924,14883,8396,345743,340862.50201362494,4,2,54,1,8,0,False,Revolving,14941,24,Home Improvement,0.1075031299017138,None,0,251,7,East,277,0.2065006584187197,84081,1,False,12215,High,251,730.0,False
47,Unemployed,2,Finance,Graduate,Single,Own,2,0,North,13112,96.64162034613663,0.0073704713503764,1.0,300,8,1,500,0.1932832406922732,31937,5326,227160,227063.35837965383,7,1,40,1,3,0,False,Installment,23068,24,Other,0.5,None,0,246,7,South,348,0.1460030523722145,0,6,False,7739,Low,289,706.0,False
72,Self-Employed,3,Finance,High School,Married,Own,1,2,South,19234,184.9429184279672,0.0096154163683044,0.4156701674118748,300,15,0,643,0.2876250675396068,22912,5892,69636,69451.05708157203,5,1,26,0,0,0,False,Installment,7995,12,Home Improvement,0.4156701674118748,Real Estate,133235,86,6,West,152,0.1495853895812081,0,3,False,0,Medium,288,761.0,False
59,Self-Employed,9,Tech,University,Single,Own,1,1,South,53490,26938.332293113486,0.5036143633036734,0.0186950831931202,300,15,0,19161,1.0,5996,3289,288576,261637.6677068865,2,1,1,1,4,0,False,Installment,1000,48,Business,0.00467377079828,None,0,168,15,North,100,0.1231930763689904,7177,1,False,6536,Medium,299,618.0,False
68,Employed,3,Tech,High School,Married,Mortgage,2,2,East,10000,1532.0,0.1532,1.0,332,19,2,113962,0.013443077517067,10178,11237,338913,337381.0,2,2,22,2,2,0,False,Installment,12843,60,Debt Consolidation,0.25686,Vehicle,37692,78,12,South,167,0.037529600393434,0,0,False,8704,Low,143,768.0,False
34,Self-Employed,1,Other,University,Married,Rent,5,3,East,35313,19400.0,0.549372752244216,0.6134284824285674,326,6,0,73748,0.2630579812333893,23090,5768,356211,336811.0,2,3,15,1,5,0,True,Mortgage,21662,36,Home Improvement,0.2044761608095224,Real Estate,116916,221,8,West,95,0.0608860461145211,0,0,False,6657,Medium,384,476.0,False
22,Self-Employed,3,Other,Others,Married,Rent,22,0,West,103605,1595.0,0.0153950098933449,0.0334153757058057,485,3,0,77538,0.0205705589517397,31272,11115,229911,228316.0,0,1,29,2,5,0,False,Revolving,3462,36,Other,0.0111384585686019,Real Estate,206516,66,11,North,241,0.1905745460694772,0,0,False,13338,Low,99,850.0,False
46,Employed,0,Education,Graduate,Single,Own,3,2,North,50146,112.87821213351474,0.0022509913479343,0.2245642723248115,300,10,0,500,0.2257564242670294,40760,4010,200560,200447.1217878665,4,3,24,3,6,2,False,Installment,11261,24,Home Improvement,0.1122821361624057,None,0,67,10,East,348,0.0779827657887609,53572,2,False,8623,Low,337,781.0,False
21,Employed,0,Finance,High School,Single,Rent,5,1,West,106201,2795.437736214303,0.0263221413754512,0.0094161071929642,417,2,2,91820,0.0304447586170148,11534,3840,143068,140272.5622637857,2,0,26,0,2,0,False,Revolving,1000,60,Home Improvement,0.0018832214385928,None,0,175,10,South,1,0.1255834493529022,21071,1,False,4090,Medium,63,850.0,False
27,Employed,5,Tech,University,Others,Mortgage,11,1,South,86959,9877.0,0.1135822629055071,0.2561896985935901,368,11,0,88348,0.1117965318965907,11643,6951,215181,205304.0,4,3,54,1,1,0,False,Revolving,22278,60,Home Improvement,0.051237939718718,None,0,11,12,South,27,0.0106270854125878,93527,0,False,1805,Low,152,850.0,False
